Title,Price,Location,Bedrooms,Bathrooms,Size
3 Bed House with En Suite at Kitengela (Milimani),"KSh 7,000,000","Kitengela (Milimani), Kitengela",3 Bedrooms,3 Bathrooms,N/A
5 Bed House with En Suite in Kitisuru,"KSh 350,000,000","Kitisuru, Westlands",5 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite at Loresho,"KSh 108,000,000","Loresho, Westlands",5 Bedrooms,7 Bathrooms,720 m²
3 Bed Townhouse with En Suite in Westlands Area,"KSh 35,000,000","Westlands Area, Westlands",3 Bedrooms,3 Bathrooms,"0,13 m²"
3 Bed Townhouse with En Suite in Kitengela,"KSh 6,800,000",Kitengela,3 Bedrooms,4 Bathrooms,175 m²
5 Bed Townhouse with En Suite in Lavington,"KSh 69,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
3 Bed House with En Suite in Kitengela,"KSh 9,000,000",Kitengela,3 Bedrooms,4 Bathrooms,185 m²
4 Bed House with En Suite in Kitengela,"KSh 12,500,000",Kitengela,4 Bedrooms,5 Bathrooms,198 m²
4 Bed House with En Suite in Kitengela,"KSh 9,000,000",Kitengela,4 Bedrooms,5 Bathrooms,205 m²
3 Bed House with En Suite in Kitengela,"KSh 8,000,000",Kitengela,3 Bedrooms,4 Bathrooms,195 m²
5 Bed House with En Suite in Lavington,"KSh 110,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
5 Bed House with En Suite in Lavington,"KSh 80,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
6 Bed Villa with En Suite in Diani,Price not communicated,Diani,6 Bedrooms,6 Bathrooms,420 m²
4 Bed House with En Suite in Lavington,"KSh 110,000,000",Lavington,4 Bedrooms,4 Bathrooms,N/A
5 Bed House with En Suite in Lavington,"KSh 85,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
3 Bed House with En Suite in Kitengela,"KSh 7,500,000",Kitengela,3 Bedrooms,4 Bathrooms,175 m²
5 Bed Villa with En Suite in Diani,"KSh 53,000,000",Diani,5 Bedrooms,5 Bathrooms,360 m²
3 Bed Villa with En Suite in Diani,Price not communicated,Diani,3 Bedrooms,3 Bathrooms,220 m²
5 Bed Villa with En Suite in Diani,Price not communicated,Diani,5 Bedrooms,5 Bathrooms,500 m²
4 Bed Villa with En Suite in Diani,Price not communicated,Diani,4 Bedrooms,4 Bathrooms,430 m²
5 Bed House with En Suite at Kitisuru,"KSh 350,000,000","Kitisuru, Westlands",5 Bedrooms,5 Bathrooms,N/A
4 Bed Villa with En Suite at Loresho,"KSh 96,000,000","Loresho, Westlands",4 Bedrooms,4 Bathrooms,N/A
5 Bed Townhouse with En Suite at Kileleshwa,"KSh 45,000,000",Kileleshwa,5 Bedrooms,5 Bathrooms,N/A
5 Bed House with En Suite at Windsor,"KSh 130,000,000","Windsor, Kiambu Road",5 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite in Karen,"KSh 115,000,000",Karen,5 Bedrooms,5 Bathrooms,N/A
7 Bed House with En Suite in Runda,"KSh 185,000,000","Runda, Westlands",7 Bedrooms,7 Bathrooms,N/A
5 Bed House with En Suite in Runda,"KSh 140,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,N/A
5 Bed House with En Suite in Karen,"KSh 150,000,000",Karen,5 Bedrooms,7 Bathrooms,N/A
4 Bed Villa with En Suite in Spring Valley,"KSh 59,000,000","Spring Valley, Westlands",4 Bedrooms,5 Bathrooms,N/A
5 Bed House with En Suite at Thigiri,"KSh 155,000,000","Thigiri, Westlands",5 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite in Kitengela,"KSh 11,500,000",Kitengela,4 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite in South B,"KSh 16,000,000",South B,3 Bedrooms,2 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 55,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 30,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed House with Garden at Miotoni,"KSh 100,000,000","Miotoni, Karen",4 Bedrooms,5 Bathrooms,N/A
5 Bed House with En Suite in Kitisuru,"KSh 270,000,000","Kitisuru, Westlands",5 Bedrooms,5 Bathrooms,N/A
6 Bed House with En Suite in Karen,Price not communicated,Karen,6 Bedrooms,7 Bathrooms,N/A
5 Bed House with En Suite in Lavington,"KSh 58,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
3 Bed House with En Suite at Mugutha,"KSh 11,000,000","Mugutha, MUGUTHA, Ruiru",3 Bedrooms,N/A,N/A
4 Bed Villa with En Suite at Diani Beach Road,"KSh 37,000,000","Diani beach road, Diani",4 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite at Katani,"KSh 9,500,000","Katani, Syokimau",3 Bedrooms,4 Bathrooms,154 m²
4 Bed Townhouse with En Suite in Kileleshwa,"KSh 55,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite at Lavington,"KSh 77,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
4 Bed House with En Suite at Acacia,"KSh 18,900,000","Acacia, Kitengela",4 Bedrooms,5 Bathrooms,312 m²
4 Bed House with En Suite at Malindi,"KSh 80,000,000","0508n, malindi, Malindi",4 Bedrooms,5 Bathrooms,N/A
4 Bed Villa with En Suite at Loresho,"KSh 108,000,000","Loresho, Westlands",4 Bedrooms,5 Bathrooms,789 m²
4 Bed House with En Suite at Kitengela,"KSh 20,000,000","kitengela, Kitengela",4 Bedrooms,4 Bathrooms,N/A
4 Bed House with En Suite at Runda,"KSh 120,000,000","Runda, Westlands",4 Bedrooms,4 Bathrooms,N/A
4 Bed House with En Suite at Karen,"KSh 67,000,000",Karen,4 Bedrooms,4 Bathrooms,N/A
3 Bed Townhouse with En Suite at Mtwapa,"KSh 10,000,000","mtwapa, Mtwapa",3 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,"KSh 10,250,000","Near Nairobi - Mombasa Expressway, Athi River",3 Bedrooms,2 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 55,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
